client_id,model,int_initial_score,int_score,int_confidence,int_review_decision,int_revision_count,int_score_rev1,int_score_rev2
C2742,grok-4,85,85,90,APPROVE,0,,
C7630,grok-4,95,95,95,APPROVE,0,,
C4799,grok-4,85,85,80,APPROVE,0,,
C2174,grok-4,75,75,85,APPROVE,0,,
C7693,grok-4,85,85,90,APPROVE,0,,
C8245,grok-4,85,85,90,APPROVE,0,,
C2646,grok-4,85,85,90,APPROVE,0,,
C5211,grok-4,90,85,85,APPROVE,1,85,
C5727,grok-4,15,15,95,APPROVE,0,,
C4912,grok-4,15,15,90,APPROVE,0,,
C8136,grok-4,10,10,95,APPROVE,0,,
C572,grok-4,15,15,90,APPROVE,0,,
C4018,grok-4,10,10,95,APPROVE,0,,
C9143,grok-4,10,10,95,APPROVE,0,,
C4591,grok-4,15,15,95,APPROVE,0,,
C8593,grok-4,15,15,90,APPROVE,0,,
C5757,grok-4,20,20,85,APPROVE,0,,
C2804,grok-4,15,35,80,APPROVE,1,35,
C9262,grok-4,15,15,90,APPROVE,0,,
C6641,grok-4,15,35,75,APPROVE,1,35,
C459,grok-4,15,15,95,APPROVE,0,,
C9261,grok-4,15,15,95,APPROVE,0,,
C896,grok-4,20,20,90,APPROVE,0,,
C5170,grok-4,15,15,90,APPROVE,0,,
C8528,grok-4,15,15,90,APPROVE,0,,
C1075,grok-4,15,15,90,APPROVE,0,,
C774,grok-4,15,35,70,APPROVE,2,25,35
C7563,grok-4,25,25,85,APPROVE,0,,
C5960,grok-4,20,20,85,APPROVE,0,,
C9274,grok-4,20,20,90,APPROVE,0,,
C4441,grok-4,20,20,85,APPROVE,0,,
C6351,grok-4,20,35,70,REJECT,2,25,35
C4809,grok-4,20,20,90,APPROVE,0,,
C2733,grok-4,35,35,85,APPROVE,0,,
C1922,grok-4,15,15,90,APPROVE,0,,
C5080,grok-4,20,20,85,APPROVE,0,,
C2682,grok-4,20,20,90,APPROVE,0,,
C6626,grok-4,25,25,85,APPROVE,0,,
C2171,grok-4,25,25,90,APPROVE,0,,
C7720,grok-4,45,45,85,APPROVE,0,,
C28,grok-4,20,20,90,APPROVE,0,,
C7906,grok-4,15,15,90,APPROVE,0,,
C5452,grok-4,25,25,85,APPROVE,0,,
C4979,grok-4,20,20,90,APPROVE,0,,
C9451,grok-4,20,20,90,APPROVE,0,,
C9814,grok-4,15,40,80,APPROVE,1,40,
C717,grok-4,25,25,90,APPROVE,0,,
C8369,grok-4,45,45,85,APPROVE,0,,
C6684,grok-4,35,35,75,APPROVE,0,,
C2728,grok-4,20,45,75,APPROVE,1,45,
C8255,grok-4,15,15,95,APPROVE,0,,
C410,grok-4,20,20,90,APPROVE,0,,
C1591,grok-4,20,20,90,APPROVE,0,,
C2311,grok-4,15,35,75,APPROVE,1,35,
C8478,grok-4,20,20,90,APPROVE,0,,
C313,grok-4,20,20,90,APPROVE,0,,
C9930,grok-4,20,20,85,APPROVE,0,,
C8660,grok-4,20,20,90,APPROVE,0,,
C2587,grok-4,20,20,90,APPROVE,0,,
C8072,grok-4,20,20,85,APPROVE,0,,
C8605,grok-4,25,25,85,APPROVE,0,,
C9966,grok-4,15,15,90,APPROVE,0,,
C9266,grok-4,20,20,90,APPROVE,0,,
C702,grok-4,85,85,75,APPROVE,0,,
C5329,grok-4,85,85,90,APPROVE,0,,
C7022,grok-4,85,85,90,APPROVE,0,,
C6004,grok-4,85,85,80,APPROVE,0,,
C7498,grok-4,15,50,70,REJECT,2,35,50
C1924,grok-4,75,75,80,APPROVE,0,,
C4155,grok-4,85,85,90,APPROVE,0,,
C8039,grok-4,75,75,80,APPROVE,0,,
C9771,grok-4,85,85,90,APPROVE,0,,
C4437,grok-4,85,85,80,APPROVE,0,,
C8011,grok-4,85,85,80,APPROVE,0,,
C7801,grok-4,85,85,75,APPROVE,0,,
C2991,grok-4,55,55,75,APPROVE,0,,
C4813,grok-4,65,65,75,APPROVE,0,,
C8319,grok-4,65,65,75,APPROVE,0,,
C9915,grok-4,45,45,75,APPROVE,0,,
C7477,grok-4,50,50,70,APPROVE,0,,
C9348,grok-4,55,55,75,APPROVE,0,,
C8988,grok-4,85,78,80,REJECT,2,80,78
C691,grok-4,55,55,75,APPROVE,0,,
C8085,grok-4,85,75,80,REJECT,2,80,75
C7375,grok-4,85,85,95,APPROVE,0,,
C3437,grok-4,85,75,80,REJECT,2,80,75
